Accelerometer [X]	Accelerometer [Y]	Accelerometer [Z]
9.57	0.69	1.37
9.57	0.98	1.58
9.59	1.05	1.15
9.58	0.77	1.47
9.58	0.96	1.33
9.58	0.82	1.25
9.62	1.23	1.11
9.6	0.95	1.16
9.68	1.13	1.49
9.6	0.89	1.43
9.64	0.75	1.13
9.63	1.1	1.49
9.6	0.87	1.06
9.59	0.94	1.62
9.66	1.03	0.91
9.63	1.03	1.36
9.62	0.76	1.04
9.6	1.41	1.38
9.64	0.66	1.12
9.68	1.18	1.21
9.63	0.82	1.29
9.59	1.19	1.38
9.64	0.98	1.22
9.56	0.82	1.41
9.62	1.3	1.13
9.57	0.7	1.41
9.62	1.21	1.32
9.62	0.92	1.39
9.6	0.88	1.5
9.58	0.99	1.16
9.62	1.05	1.46
9.62	0.93	1.27
9.63	1.12	1.49
9.62	0.83	1.13
9.59	1.04	1.55
9.6	1	1.23
9.57	1.05	1.48
9.62	0.87	1.17
9.62	1.02	1.58
9.61	0.83	1.23
9.59	1.1	1.37
9.59	1.08	1.2
9.56	0.84	1.58
9.64	1.25	1.14
9.62	0.7	1.46
9.63	0.97	1.22
9.6	0.91	1.35
9.61	1.05	1.44
9.57	0.74	1.43
9.6	1	1.44
9.64	0.8	1.22
9.63	0.78	1.27
9.58	1.28	1.29
9.61	0.6	1.49
9.6	1.48	0.8
9.59	0.73	1.52
9.64	1.03	1.22
9.62	0.98	1.37
9.62	1.01	1.02
9.64	0.96	1.41
9.6	0.81	1.1
9.59	1.14	1.48
9.61	0.83	1.07
9.61	1.1	1.37
9.6	0.85	1.44
9.64	1.1	0.99
9.58	1.01	1.44
9.6	0.98	1.13
9.59	1.07	1.36
9.62	0.74	1.31
9.65	1.21	1.27
9.61	1.09	1.48
9.6	0.8	1.22
9.6	1.14	1.14
9.62	0.97	1.32
9.63	0.75	1.22
9.62	1.1	1.35
9.61	0.75	1.12
9.6	1.12	1.43
9.61	0.86	1.09
9.63	0.91	1.43
9.66	0.94	1.26
9.59	1.21	1.27
9.58	0.57	1.18
9.6	1.23	1.47
9.62	0.75	0.9
9.6	1.08	1.49
9.62	1.13	0.99
9.63	1	1.39
9.63	0.73	1.08
9.65	1.21	1.56
9.62	0.85	0.7
9.61	1.13	1.96
9.63	0.71	0.52
9.6	1.22	1.85
9.62	0.68	0.72
9.62	1.52	1.68
9.61	0.52	0.7
9.61	1.3	1.91
9.63	0.69	0.54
9.59	1.26	1.85
9.66	0.64	0.67
9.56	1.38	1.85
9.65	0.71	0.71
9.64	1.16	1.66
9.7	1.25	0.68
9.59	0.69	1.5
9.62	1.16	0.94
9.62	0.78	1.37
9.65	1.1	1.1
9.62	0.69	1.3
9.65	1.15	1.27
9.6	0.61	1.34
9.64	1.11	1.3
9.64	0.94	1.18
9.61	0.74	1.6
9.65	1.4	1.03
9.62	0.75	1.2
9.65	0.97	1.19
9.59	1.03	1.04
9.63	0.82	1.52
9.62	1.07	1.16
9.62	0.87	1.42
9.64	1.07	1.26
9.6	0.8	1.29
9.7	1.04	1.33
9.62	0.97	1.34
9.6	1.02	1.18
9.6	0.88	1.17
9.61	0.99	1.37
9.61	0.95	1.21
9.65	0.97	1.17
9.57	0.8	1.44
9.65	0.96	1.06
9.62	0.84	1.25
9.65	0.91	1.26
9.6	0.91	1.24
9.6	0.9	1.52
9.62	0.98	1.08
9.6	0.93	1.4
9.64	0.86	1.23
9.61	1	1.44
9.65	0.97	1.09
9.62	0.83	1.52
9.64	0.94	1.18
9.62	0.91	1.44
9.6	0.89	1.33
9.59	0.94	1.34
9.58	0.88	1.38
9.64	0.92	1.34
9.63	1.01	1.4
9.64	1.03	1.42
9.61	0.94	1.16
9.62	1.06	1.57
9.6	0.85	1.16
9.65	0.91	1.16
9.59	0.87	1.27
9.62	0.97	1.38
9.63	0.92	0.88
9.64	0.91	1.6
9.64	1	1.02
9.62	0.86	1.48
9.59	0.87	1.19
9.6	1.09	1.34
9.65	0.69	1.23
9.64	1.06	1.36
9.63	0.9	1.36
9.61	0.68	1.5
9.61	1.19	1.12
9.59	0.55	1.4
9.62	1.33	1.04
9.6	1.07	1.34
9.61	0.89	1.23
9.62	1.19	0.99
9.59	0.66	1.55
9.62	0.9	1.05
9.62	1.06	1.26
9.62	1.05	1.43
9.66	0.91	0.99
9.56	1.12	1.41
9.62	0.64	1.06
9.62	1.03	1.44
9.63	1.13	1.21
9.64	0.98	1.33
9.59	0.89	1.29
9.63	1.11	1.2
9.59	0.81	1.56
9.61	0.92	1.09
9.61	0.99	1.58
9.6	0.84	1.11
9.61	1.11	1.47
9.62	0.72	1.12
9.6	1.05	1.54
9.57	0.79	1.2
9.62	1.09	1.57
9.61	0.88	1.28
9.59	0.87	1.53
9.61	0.97	1.26
9.61	0.87	1.39
9.59	0.89	1.47
9.59	0.92	1.37
9.61	0.83	1.3
9.62	1	1.54
9.6	0.77	1.21
9.59	0.86	1.46
9.64	0.95	1.3
9.6	0.91	1.42
9.58	0.96	1.39
9.58	1	1.3
9.61	0.82	1.45
9.6	0.95	1.26
9.6	0.99	1.58
9.61	0.92	1.16
9.61	0.91	1.52
9.6	0.86	1.24
9.6	1.01	1.47
9.57	0.86	1.47
9.62	0.87	1.38
9.6	1	1.38
9.57	0.84	1.48
9.6	0.83	1.44
9.57	1.02	1.5
9.57	0.87	1.41
9.6	1	1.52
9.59	0.89	1.32
9.58	0.91	1.5
9.61	0.86	1.36
9.57	0.91	1.44
9.58	0.86	1.37
9.56	0.82	1.51
9.6	0.8	1.49
9.58	0.93	1.35
9.6	0.75	1.49
9.61	1.16	1.33
9.61	0.91	1.48
9.63	0.95	1.15
9.62	0.88	1.5
9.62	0.96	1.02
9.58	1.02	1.61
9.6	0.76	1
9.59	1.18	1.62
9.61	0.66	1.09
9.59	0.98	1.53
9.58	1.06	1.07
9.6	0.57	1.63
9.64	1.12	1.13
9.61	0.75	1.35
9.63	0.9	1.35
9.56	0.99	1.23
9.6	0.78	1.39
9.62	1.15	1.37
9.59	0.72	1.39
9.62	1.02	1.41
9.62	1.01	1.16
9.54	0.98	1.55
9.65	1.02	1.17
9.6	0.94	1.47
9.62	0.89	1.38
9.61	0.88	1.39
9.61	0.92	1.33
9.59	0.96	1.26
9.58	0.96	1.42
9.62	0.86	1.18
9.59	0.95	1.38
9.63	0.88	1.32
9.6	0.96	1.37
9.6	0.77	1.33
9.64	0.93	1.35
9.62	0.83	1.43
9.59	1.02	1.4
9.57	0.87	1.26
9.61	1.02	1.49
9.6	0.99	1.25
9.59	0.87	1.24
9.62	1.09	1.35
9.57	0.8	1.33
9.6	1.02	1.36
9.59	0.82	1.34
9.6	0.82	1.33
9.6	0.92	1.46
9.61	0.95	1.42
9.58	0.91	1.38
9.6	0.94	1.45
9.58	0.91	1.3
9.59	0.98	1.38
9.6	0.84	1.57
9.59	0.91	1.26
9.58	0.95	1.51
9.59	0.89	1.29
9.59	0.87	1.48
9.61	0.88	1.25
9.59	0.85	1.49
9.59	0.92	1.4
9.61	0.88	1.4
9.57	0.87	1.37
9.56	0.97	1.49
9.6	0.96	1.26
9.62	0.82	1.37
9.61	0.99	1.33
9.6	1.06	1.09
9.59	0.8	1.58
9.61	0.96	1.28
9.59	0.86	1.44
9.63	0.77	1.3
9.56	1.16	1.47
9.61	0.83	1.37
9.58	1.05	1.51
9.6	0.99	1.19
9.6	0.8	1.61
9.58	0.81	1.22
9.6	1.01	1.4
9.59	0.68	1.39
9.61	1.02	1.34
9.61	0.85	1.45
9.6	0.92	1.33
9.61	1.04	1.51
9.62	0.9	1.16
9.57	1.06	1.65
9.61	0.69	1.02
9.58	0.99	1.69
9.62	1.13	1.06
9.59	0.82	1.7
9.62	0.76	1.31
9.58	1.05	1.01
9.61	0.95	1.57
9.62	0.99	1.26
9.69	1.25	1.15
9.61	0.65	1.39
9.62	1.09	1.04
9.59	0.91	1.35
9.61	0.9	1.2
9.58	1.11	1.38
9.63	0.82	1.08
9.63	1.13	0.91
9.7	1.21	1.07
9.59	0.41	1.2
9.68	1.76	1.14
9.54	0	1.33
9.66	1.63	0.83
9.62	0.58	1.26
9.65	1.01	0.88
9.63	1.07	0.98
9.67	0.78	1.1
9.62	1.26	1.19
9.7	0.92	1.12
9.66	1.2	1.36
9.64	0.9	0.79
9.64	1.12	1.6
9.66	1.02	0.89
9.61	1.08	1.59
9.64	0.99	0.75
9.57	1.08	1.42
9.59	1.05	1.06
9.68	0.96	1.33
9.65	0.89	1.1
9.64	0.99	1.38
9.66	1.14	1.06
9.59	0.9	1.4
9.64	1.02	1.19
9.61	0.96	1.38
9.61	0.93	1.17
9.61	1.18	1.33
9.66	1.15	1.12
9.64	0.91	1.29
9.66	0.93	1.35
9.61	0.95	1.21
9.61	0.9	1.3
9.62	1.12	1.17
9.59	0.84	1.48
9.62	0.96	1.39
9.6	1.06	1.3
9.58	1.06	1.57
9.64	0.96	0.94
9.62	0.98	1.49
9.64	1.26	1.24
9.6	0.88	1.04
9.59	1.15	1.09
9.61	0.81	1.23
9.69	0.98	1.22
9.7	1.08	1.16
9.7	1	0.85
9.63	0.92	1.12
9.63	0.94	1.34
9.63	1.35	1.27
9.64	1.02	0.77
9.65	0.86	1.16
9.62	1.44	1.11
9.65	0.89	1.12
9.62	1.35	1.05
9.58	0.59	1.56
9.65	1.49	0.61
9.62	0.94	1.11
9.66	1.04	1.35
9.68	1.03	1.41
9.6	1.01	1.06
9.61	1.09	1.17
9.66	0.82	0.93
9.64	1.25	1.53
35.9	-0.01	-0.72
39.44	2.21	-1.2
39.44	2.7	-1.48
39.44	4.44	-2.24
39.44	4.49	-3.62
39.44	3.8	-5.28
-3.11	-0.31	-5.89
-14.49	-2.49	-7.68
-12.99	-1.28	-6.33
-12.31	-0.66	-4.8
-10.72	-0.32	-4.82
-9.37	-0.62	-4.29
-8.19	-0.09	-3.84
-7.04	0.79	-3.2
-6.22	0.64	-2.61
-5.56	0.68	-2.5
-4.93	0.71	-2.22
-4.26	0.68	-2.11
-3.78	0.92	-1.63
-3.34	1.1	-1.48
-2.98	0.93	-1.46
-2.6	0.98	-1.16
-2.32	1.1	-1.18
-2.04	1.16	-0.89
-1.8	1.04	-0.87
-1.62	1.15	-0.82
-1.39	1.09	-0.68
-1.28	1.09	-0.81
-1.16	1.18	-0.64
-1.07	1.07	-0.54
-1.01	1.06	-0.68
-1	1.18	-0.64
-0.96	1.1	-0.52
-0.97	1.05	-0.57
-1.02	1.17	-0.66
-7.35	0.58	-5.96
2.13	-10.06	-32.35
-28.86	-20.21	3.61
0.57	-7.87	4.84
7.26	11.71	-3.2
-13.35	5.38	-1.6
0.94	5.9	-9.55
1.47	2.18	-12.34
7.34	11.5	1
-0.61	-0.19	5.28
-5.13	7.33	3.2
-0.28	-0.15	-9.53
0.2	10.55	6.16
-4.27	11.12	-6.04
5.21	-1.24	-19.51
3.35	-4.97	-10.93
2.29	7.44	-8.89
1.56	6.82	-8.3
-0.5	2.4	-3.65
-5.88	-6.46	-14.57
-2.58	-9.65	4.52
13.96	3.2	-0.4
-11.92	-1.65	12.85
-7.19	-13.38	-1.68
-5.35	0.3	-10.23
0.59	6.4	-10.61
-3.34	-8.29	8.02
-0.88	9.72	4.81
0.29	-5.6	8.4
3.25	-28.57	4.44
-5.04	-14.88	-7.13
-3.27	-3.23	-2.64
-2.23	-8.57	-4.36
2.54	-0.23	-21.51
0.63	-6.23	-0.45
3.61	-15.02	0.61
-5.74	10.51	0.86
-10.69	11.72	-3.22
-8.15	-1.73	-0.6
-1.52	-7.55	-4.72
1.87	-3.42	4.85
1.28	8.83	-8.72
-6.13	4.46	-9.96
-7.02	3.59	3.23
-7.85	-11.54	-9.97
0.7	10.97	-2.69
1.25	-5.13	8.24
-2.86	7.76	7.52
0.22	-3.5	-5.86
-6.21	-1.08	-13.02
-7.29	-2.8	-7.3
-6.85	-1.3	-8.41
1.01	8.48	-3.18
5.66	-6.29	-0.17
0.96	6.12	1.57
10.41	11.52	9.62
-2.96	-2	-8.68
0.9	8.42	-5.31
-4.26	4.31	-5.21
4.48	-11.62	5.8
-9.75	-15.04	12.21
-8.67	0.39	9
-9.02	-2.26	-7.56
1.67	-3.02	7.76
0.68	-0.55	1.02
3.78	-13.61	-2.23
3.07	-16.38	4.14
-2.89	6.86	-10.17
-11.9	-3.84	-1.54
-3.13	4.08	-20.04
2.14	3.75	9.53
2.35	1.86	6.38
-0.3	7.66	7.75
-0.55	5.2	10
-2.78	5.27	-18.85
-8.39	-18.37	-7.44
-2.94	0.12	0.41
-3.14	4.86	-13.23
-4.12	12.65	-0.54
0.72	3.52	-5.04
10.19	14.16	-1.37
-5.29	7.29	-16.88
-7.07	0.43	-3.34
-5.79	-4.4	-6.41
0.45	-6.92	1.25
3.25	2.3	-6.94
-1.69	-12.67	0.4
-3.05	1.18	13.47
-5.65	-6.1	6.93
-7.27	7.79	5.78
-8.74	5.71	-1.65
-0.2	10.31	-2.2
1.79	-3.32	-0.76
0.68	-8.72	6.69
-2.14	-11.36	12.99
1.17	-8.73	-1.65
0.55	-1.07	11.81
-9.84	-17.14	-1.98
-5.46	-3.72	6.07
6.63	-2.55	-12.01
-0.51	11.09	8.98
-5.53	1.28	19.64
-7.98	1.92	17.93
-0.33	6.74	-2.31
0.91	6.6	-7.18
-5.1	10.45	-1.01
0.43	-2.44	-5.4
-0.15	0.7	4.98
-3.69	1.48	-7.76
-0.65	4.25	-9.62
2.42	-3.72	-8.88
-2.35	-5.92	8.08
-3.21	13.89	-3.56
-10.04	8.99	-3.74
-8.22	0.03	-6.17
-39.02	-3.71	-5.97
-7.01	22.86	2.49
-5.73	-1.35	-7.62
-0.68	0.33	-1.48
-10.74	-0.77	-10.23
-6.71	0.05	-4.1
-8.37	-1.72	-0.15
-9.89	1.91	-2.9
-15.47	1.39	-2.92
-5.53	1.39	-1.89
-15.32	1.31	-2.01
-8.05	0.69	-0.98
-11.65	-0.89	-0.87
-9.14	2	-1.83
-7.92	0.9	-1.02
-9.25	0.36	-0.62
-6.95	1	-1.13
-10.77	1.27	-1.81
-10.53	0.06	-2.55
-7.15	0.82	-1.17
-9.27	0.27	-2.14
-9.9	0.74	-1.96
0.23	0.34	0.32
1.01	-7.21	-2.05
-7.23	-11.24	8.98
-4.67	-6.53	11.37
-21.31	-6.09	-12.34
-0.86	1.19	-0.39
-4.11	0.12	-10.17
-0.71	-1	-12.14
0.32	0.54	-2.57
-8.99	2.5	0.02
-6.25	0.31	3.91
-0.71	0.82	0.6
-1.06	0.62	-1.95
7.5	-0.67	-16.95
18.32	-17.02	11.88
-9.52	-1.61	-5.06
-2.29	2.92	0.73
-0.19	0.17	0.3
1.47	-9.22	-5.3
8.23	-0.41	-5.52
-2.99	12.21	10.45
9.97	1.59	-13.19
3.98	1.35	0.51
-3.1	-4.26	0
21.82	5.7	-0.74
-2.29	-1.66	4.72
-13.73	-8.58	6.31
11.12	-31.88	4.31
14.27	27.59	-17.48
0.09	-0.79	0.6
-1.68	3.72	4.59
-17.7	0.74	-3.37
0.52	1.72	-0.62
0	-0.37	9.14
0.19	-6.22	6.28
0.27	-5.14	7.09
0.27	-5.1	7.13
0.1	-5.74	7.86
0.11	-5.74	7.83
0.1	-5.75	7.86
0.1	-5.75	7.81
0.12	-5.74	7.85
0.09	-5.72	7.84
0.11	-5.74	7.85
0.1	-5.73	7.84
0.11	-5.74	7.83
0.1	-5.75	7.82
0.11	-5.73	7.83
