Gyroscope [X]	Gyroscope [Y]	Gyroscope [Z]
-0.01	-0.03	0
0.03	0.03	0.02
-0.02	-0.03	-0.02
-0.01	-0.01	0
0	-0.02	-0.01
0	0	0
-0.03	-0.04	0
0.03	-0.01	-0.02
0.08	-0.04	0.02
-0.02	0.02	0
-0.06	-0.03	-0.02
-0.09	0.06	0.02
-0.01	-0.03	-0.01
0.06	-0.01	-0.02
-0.06	-0.01	-0.01
0.04	-0.02	-0.01
-0.02	0	0
-0.06	0	0
0.09	0.02	0.01
-0.06	-0.04	-0.02
-0.05	0.01	0.01
-0.06	-0.04	0
0.11	0.04	0.01
-0.01	-0.02	0
-0.01	-0.01	0
0	0	0.01
0.06	0.01	0.01
0	-0.02	0
0.05	-0.01	0.01
0.25	0.01	0.02
-0.04	-0.03	-0.02
0.09	0.03	-0.01
-0.01	-0.05	0
0.02	0.01	0
-0.03	-0.02	0.03
0	-0.01	-0.02
0.07	0	0.02
-0.01	-0.02	0
0.02	0.02	0.01
0.02	-0.03	0.01
0	0.02	-0.01
-0.03	-0.02	0
-0.05	-0.02	0.01
0.02	-0.01	-0.01
0.02	0.02	0.01
-0.14	-0.03	-0.01
-0.04	0.01	0.01
0.06	-0.03	-0.01
0.04	0.01	-0.01
0.08	-0.01	0.03
-0.06	0	-0.03
0.13	0.03	0.03
-0.05	-0.03	-0.03
-0.01	0	0
0.01	0.02	0
0.01	0	-0.01
0.02	0.01	0.01
-0.03	-0.04	-0.03
-0.01	0.02	0.03
-0.02	-0.03	-0.02
0	0	0.02
-0.04	-0.02	-0.03
0.01	-0.01	0.03
-0.02	0	-0.05
-0.02	-0.04	0.02
0	0.01	-0.01
0.02	-0.02	-0.01
0.02	0.01	0.01
0	-0.01	-0.01
0	0	0.01
-0.03	-0.02	-0.02
-0.02	-0.02	0
-0.01	0	0
-0.03	-0.01	-0.01
-0.01	-0.01	0
-0.11	0	0
-0.02	-0.01	0
-0.07	-0.02	-0.02
0.01	-0.01	0.01
0.01	0.01	-0.01
-0.15	-0.06	-0.02
0.14	0.04	0.02
0	-0.03	0
-0.02	0	-0.01
0	0.01	0.01
-0.09	-0.02	0
0.03	-0.01	-0.02
0.08	0	0.02
-0.01	0	-0.04
-0.03	-0.01	0.04
-0.02	-0.01	-0.02
0.02	0.01	0.01
-0.05	-0.02	0
-0.02	0	0
-0.03	-0.01	-0.02
-0.01	0	0.01
0.02	-0.01	0
0.02	0	-0.02
0	0	0.03
-0.06	-0.02	-0.02
0.03	-0.02	-0.04
0.02	0	0.03
-0.14	-0.03	-0.06
0.08	-0.01	0.04
0.07	0.04	0.01
-0.16	-0.02	-0.02
-0.01	-0.02	0.02
0	-0.01	-0.01
-0.07	-0.03	-0.01
0.04	-0.04	0.03
-0.01	0.02	-0.02
0.34	0.08	0
-0.27	-0.09	-0.01
-0.02	-0.03	0.04
0.07	0.05	-0.02
0.05	-0.03	0.04
0.02	0.05	-0.02
0	-0.06	0.02
0.01	0.02	0
-0.07	0	-0.02
0.01	0.01	0.02
0.02	-0.01	0
0.09	0.06	0
-0.02	-0.06	-0.02
0.23	0.03	0.01
-0.01	-0.07	-0.03
-0.02	-0.07	0.01
0.04	0.02	0.01
0.11	0.06	-0.04
-0.02	-0.06	0.02
0.01	0.04	-0.03
-0.04	-0.08	0.03
0.19	0.05	-0.02
-0.05	-0.06	0
0.01	-0.06	0
0.06	0.03	0.01
0.13	0.12	-0.03
-0.04	-0.13	0.02
-0.13	0.1	-0.01
-0.08	-0.07	0
0.07	0.04	-0.02
-0.05	-0.05	0.03
0.01	0.04	-0.01
-0.01	-0.04	0.02
0.01	0.02	-0.01
-0.01	-0.04	0.02
-0.02	0.01	-0.01
-0.03	-0.02	-0.01
0.03	0.01	0.01
-0.02	-0.03	-0.02
0.02	-0.02	0
-0.01	0.02	0
-0.02	-0.05	0
0.26	0.02	0.01
-0.05	-0.05	-0.02
0.05	0.03	0.02
-0.04	-0.04	0
-0.01	0.02	-0.02
-0.01	-0.03	0.03
0.03	0	-0.02
0.01	0	0.01
0	-0.01	0
0	0	0.01
0.01	0	0
-0.01	-0.03	0
0.02	0	0.01
-0.01	-0.01	-0.01
0.02	0	0.01
-0.01	-0.01	0
0.02	0.01	0.01
0	-0.02	0.01
-0.01	-0.02	-0.01
0	0.01	0.01
-0.04	-0.02	0
-0.02	-0.02	0
0.02	0.01	-0.01
-0.03	-0.04	0.02
0.01	0.03	-0.01
0.01	-0.03	0.02
0.01	0.02	-0.02
0	-0.03	0
0.05	0.02	0.01
-0.04	-0.03	0
0.03	0.02	0.01
-0.03	-0.05	-0.01
0.02	0.02	0
-0.02	-0.03	0
0.01	0.01	-0.01
-0.03	-0.03	0.01
0.01	0.01	-0.01
0	-0.01	0
0.01	0.01	0
-0.01	-0.02	0.01
0.02	0.01	0
-0.02	-0.03	0
-0.01	-0.01	0.01
0.01	0	-0.01
-0.01	-0.01	0.01
-0.02	0	0
0	-0.01	0
0.01	0.01	0
-0.01	-0.02	-0.01
0.04	0.01	0
-0.03	-0.03	-0.02
0.07	0.03	0.02
-0.02	-0.03	-0.01
0.03	0.01	0
-0.03	-0.03	0.02
0.01	0.02	-0.02
-0.01	-0.02	0.02
0	0.01	-0.01
-0.01	-0.02	0
0	0	0.01
-0.01	-0.02	-0.01
-0.01	-0.01	0
0	0	0.01
-0.02	-0.02	-0.01
0	-0.02	0
-0.01	-0.02	0
-0.03	0	-0.01
0.02	-0.01	0
0.01	0	0.01
-0.01	-0.01	0.02
-0.02	-0.03	-0.01
-0.03	0	0
-0.03	0.01	-0.01
-0.03	-0.03	-0.01
0.01	0.01	0.01
-0.02	-0.02	-0.01
0.01	0	-0.01
-0.01	0	0.01
-0.03	-0.01	-0.02
0.02	0	0.02
-0.04	0	-0.02
0.01	-0.01	0.02
0	0.02	-0.01
-0.01	-0.03	0
0.01	0	0.01
-0.04	-0.03	-0.02
0.02	-0.01	0.01
0.01	-0.01	0.01
-0.04	0	0
-0.01	0	0.01
-0.01	0	0
0	0	0
0	-0.01	0
0.01	-0.01	-0.01
-0.02	-0.02	0
0	0	0
0	-0.02	0.01
0.01	0.01	-0.01
-0.01	-0.03	0.01
-0.01	0	-0.02
0	-0.02	0.02
0.02	0.01	0
-0.01	-0.03	0
0.01	0.01	0
0	0	0.01
-0.01	-0.01	0
-0.01	-0.01	0
-0.01	-0.01	0.01
-0.01	-0.03	-0.01
0.05	0.02	0
-0.05	-0.04	-0.02
0	0.01	-0.01
-0.09	-0.02	0.03
-0.03	0	-0.02
0.03	0	0.01
-0.02	-0.02	-0.03
0.09	0	0.01
-0.02	-0.03	-0.02
0.02	0.03	0.03
-0.06	-0.05	-0.03
-0.02	0	0.01
-0.01	-0.01	0.01
0.01	0	-0.01
-0.06	-0.02	0
-0.01	0	-0.01
0	0.01	-0.01
-0.01	-0.02	0
0	0.01	-0.01
-0.01	-0.02	0.01
0.01	-0.02	-0.02
0.01	-0.01	0.01
-0.02	-0.02	0
-0.02	-0.02	0
0.03	0.01	0.03
-0.02	-0.01	-0.01
-0.01	-0.01	0.01
-0.01	0.01	0.01
-0.03	-0.01	-0.01
-0.01	-0.02	0.01
0.03	0	0
-0.06	-0.02	-0.01
-0.03	-0.02	0
0	0	0.01
0.03	-0.01	0
0.01	-0.02	0.01
-0.03	0	0.01
-0.04	-0.01	-0.01
-0.01	0.01	0.01
-0.03	-0.04	0.01
0.07	0.01	0.01
-0.02	-0.01	0.02
0.01	0	-0.01
-0.03	-0.04	0.01
0.09	0.02	0.01
-0.04	-0.03	-0.04
0.03	0.02	0.02
-0.02	-0.04	-0.01
0.04	0.02	-0.01
-0.02	-0.02	-0.01
0.07	-0.03	0
0	0.01	-0.01
-0.03	-0.02	0
0.04	0.03	0.02
-0.13	-0.05	-0.04
0.09	0.06	0.04
0.02	-0.05	-0.04
0.01	-0.01	0.01
-0.01	-0.02	-0.01
0.14	0.01	0.03
-0.05	-0.01	0
-0.01	-0.01	-0.01
-0.03	0	0.02
0.02	-0.01	-0.02
0	0	0.01
-0.09	-0.01	-0.02
-0.03	-0.03	-0.01
0.01	0	0.01
-0.06	-0.02	-0.01
0	0.01	0.01
0	-0.02	-0.01
-0.01	-0.01	0
-0.01	-0.01	0
-0.02	-0.02	-0.02
-0.02	0	0.01
-0.02	0	-0.01
0.01	-0.01	0.01
-0.01	-0.01	0
0.01	0	0.02
-0.01	-0.01	-0.01
0.02	-0.01	0
-0.02	0	-0.01
0.01	-0.01	0.01
0	0	-0.01
0	-0.01	0.02
0.01	0.01	-0.01
-0.02	-0.03	0.01
-0.01	0.01	-0.01
0	-0.02	-0.01
0.01	0.01	0
0.01	-0.01	0
0.01	0	-0.01
0	0	0
0.02	-0.01	0
-0.01	-0.01	-0.01
0.02	0	0.01
0.01	-0.01	0
-0.01	-0.01	0
0	0	0
0	-0.01	0.01
-0.02	0	0
0	-0.01	-0.01
0.01	-0.01	0
0.01	-0.01	-0.02
0.02	0	0.01
0.02	0	0
-0.01	-0.02	0.02
-0.03	-0.02	-0.01
-0.01	-0.01	-0.01
0	-0.01	0.01
0	0	-0.01
0.01	-0.01	0.01
-0.01	-0.01	-0.01
0	0	0
0	0	0.02
-0.01	0	-0.03
0	-0.01	0.02
0.01	0.01	-0.01
-0.05	-0.03	-0.01
0.09	-0.01	0.01
0	0	-0.01
0.04	0	0.02
0.02	-0.03	-0.02
0	0	-0.01
0	-0.02	0.01
0.01	0	-0.02
-0.02	-0.03	0.01
-0.01	0.01	-0.01
0.02	-0.01	0.02
0.01	0.02	0
-0.02	-0.01	0.01
0	0.01	-0.01
0.01	-0.02	0
0.02	0.01	0
-0.03	-0.02	0
0.01	0.01	0
-0.02	-0.01	0.01
-0.01	0.01	-0.01
-0.02	-0.03	0.01
0	0.01	-0.01
-0.03	-0.02	0.01
0.01	0	0
-0.01	-0.01	0
0	0	0
-0.01	-0.01	-0.01
0	0	0
0	-0.01	0.01
-0.01	-0.01	-0.01
-0.02	-0.01	0.01
0	0	-0.01
-0.02	-0.02	0.01
0	0	-0.01
-0.03	-0.01	0
-0.02	-0.01	0.01
0	-0.01	0
0	-0.01	0
0	-0.01	0.01
0	-0.01	-0.01
-0.01	-0.01	0
0	-0.01	0
-0.01	-0.01	0
-0.03	0	0
-0.01	-0.01	0
0	0	0.01
-0.01	-0.01	0
0	0	-0.01
0	0	0.01
0.01	-0.01	0
0	0	-0.01
0	0	0.01
-0.01	0.01	0
0	-0.01	0.01
0	0	0
-0.01	0	0
0	0	0.01
0	0.01	-0.02
0	0	0.01
0	0.01	-0.01
0.01	0	0
0	0.01	-0.01
0.01	-0.02	-0.02
0	-0.01	-0.01
-0.03	0	-0.01
0.01	0	0
-0.01	0	0
-0.01	0.01	-0.01
0.02	0	0.01
0.01	0.01	-0.03
-0.02	-0.01	0
-0.01	0.01	-0.01
-0.01	0	0
0.01	0	0.01
0.02	-0.01	-0.02
0	0	0
0.04	0.01	0
-0.01	0	-0.02
-0.01	0	0
-0.01	0.01	-0.01
0	0	0
0	0.01	-0.01
0	-0.01	-0.01
0.02	0.01	0
-0.02	0	-0.03
0.02	0	0
0.01	0.01	-0.01
0	-0.01	-0.01
0	0	0
-0.02	-0.01	-0.01
0.01	0.01	0
-0.04	-0.01	0
0.03	0.01	0
-0.01	-0.01	-0.01
0	0.01	-0.01
0.01	0	0
0.01	0	-0.01
0	0	0
0	0.01	-0.01
0	-0.01	-0.01
0.01	0.01	0
-0.01	0	-0.02
0	-0.01	0.01
-0.02	0	-0.03
0.02	0	0.01
0.01	0	-0.01
0	-0.01	-0.01
0	0.01	-0.01
0	0	-0.02
0	0	0
0	0	-0.01
0.01	0	-0.01
0	0.01	-0.01
0	-0.01	-0.01
0.02	0.02	0
-0.01	-0.01	-0.01
0.01	0.02	-0.01
-0.01	0	0
0.01	0	-0.01
0	0	-0.01
0	0	0
-0.01	0	0
0	-0.01	0
0.01	0.01	0
-0.02	-0.02	0
0	0.01	0
-0.01	-0.01	0
0	-0.01	-0.01
0.03	-0.01	0.01
0.02	0	0.01
0	-0.01	0
0.01	0.01	0
-0.02	0	0.01
-0.02	-0.01	-0.02
0	0.01	0.02
-0.01	-0.01	0
-0.02	0	0
0	-0.01	0.01
0	0	-0.01
0	-0.02	0.01
-0.02	0.02	0.01
-0.03	-0.03	0
0.01	0.01	0
0	-0.01	0.01
0	0.01	-0.01
-0.01	-0.01	0.02
-0.01	0.02	0
-0.01	-0.01	0.01
0.01	0	0.01
-0.02	-0.01	-0.01
0.02	0.01	0.01
0	0.02	0.02
-0.04	-0.02	-0.01
0.01	0.01	0.02
0.03	-0.02	-0.02
0	0	0
0.02	-0.01	-0.01
-0.09	-0.03	0
0.13	0.01	0
-0.05	-0.02	0.02
0.02	0.03	0
-0.02	-0.03	0
-0.03	0.01	-0.01
-0.06	-0.03	0
0.02	0.04	0.01
-0.03	-0.03	0.01
0.06	0.01	0
0	0	0
0.07	0.03	0
0.02	-0.07	0.01
-0.03	-0.01	-0.03
0.09	0.01	0.05
-0.02	0	-0.03
0.01	-0.01	0.03
0.02	0.02	-0.01
-0.03	0	0.02
0.05	0	0.01
-0.01	-0.01	0
0.07	0.01	0.02
0.01	-0.01	0
0	0.01	0.01
0.04	-0.01	0.01
-0.01	-0.01	0
-0.01	-0.01	0.01
0	0.01	0
0.02	-0.01	0
-0.01	0.01	0.02
0.02	0.01	0
0	-0.01	0.01
0.03	0.01	0
-0.01	-0.02	-0.01
0.05	0.01	-0.01
-0.02	-0.01	0.01
0	0	0
0	0	-0.01
0.04	-0.01	0.01
-0.01	0.01	0
0	0.02	0.02
0	0	0
-0.01	-0.02	0
0	0.02	0
-0.01	-0.01	0.01
-0.01	0	0
-0.08	-0.04	-0.02
0.09	0.05	0.02
-0.06	-0.05	0
-0.01	0.01	-0.01
0.02	-0.01	0.02
0.03	0.02	-0.03
0.03	-0.03	0.03
-0.04	-0.01	-0.02
0.02	-0.01	0.03
0.01	0.01	-0.01
-0.01	0	0.01
-0.02	0.01	-0.01
-0.07	-0.04	-0.02
0.14	0.03	0.02
-0.04	-0.02	0
0.07	0.03	0.01
-0.05	-0.04	0.01
-0.04	0.07	0.01
-0.1	-0.05	0.03
-0.04	0.01	-0.06
0.04	-0.01	0.05
-0.02	-0.01	-0.03
0.04	-0.02	0.02
0	0.02	-0.02
-0.04	-0.01	0.03
0.03	0.02	-0.01
0.1	-0.04	-0.05
-2.19	0.42	0.68
-4.08	0.38	-0.16
-7.44	0.05	-0.06
-10.5	-0.01	-0.08
-13.18	-0.04	-0.48
-15.28	-0.55	-0.79
-15.21	-0.46	-0.71
-14.12	-0.53	-0.75
-13.19	-0.45	-0.67
-12.31	-0.47	-0.48
-11.22	-0.45	-0.51
-10.53	-0.34	-0.4
-9.6	-0.24	-0.46
-9.09	-0.16	-0.41
-8.55	-0.32	-0.37
-8.1	-0.15	-0.25
-7.35	-0.11	-0.35
-6.88	-0.21	-0.27
-6.41	-0.05	-0.33
-6.22	-0.24	-0.17
-5.81	-0.01	-0.2
-5.5	-0.16	-0.14
-5.07	0.02	-0.21
-4.84	-0.13	-0.07
-4.54	-0.06	-0.26
-4.34	0.06	-0.07
-4.11	-0.19	-0.07
-3.85	-0.01	-0.28
-3.8	0.11	-0.01
-3.69	-0.16	-0.01
-3.5	-0.09	-0.29
-3.49	0.14	-0.12
-3.54	-0.08	0.06
-3.44	-0.19	-0.21
-3.13	1.97	-0.41
8.85	1.01	4.73
-17.83	-7.31	-3.24
3.4	-0.9	5.25
-2.49	-13.28	7.27
0.76	-3.55	-2.01
3.01	1.6	1.08
-2.63	-3.59	-0.46
7.57	-8.46	-0.03
3.22	-5.58	1.03
-3.96	-0.83	-1.88
-7.88	-1.9	-1.6
1.15	1.37	-0.65
-0.03	0.85	-1.69
12.57	0.77	7.79
-3.55	5.1	2.82
-1.87	-2.97	0.3
0.41	2.53	-2.89
-3.02	-7.1	-5.21
5.73	2.95	2.55
-2.95	-3.13	-2.44
3.96	-5.17	-11.26
-5.74	2.14	0.52
-4.6	0.49	2.63
6.48	-1.34	-0.08
5.41	1.28	2.01
8.55	-1.03	-4.05
-6.34	1.71	-0.54
0.66	-1.14	0.18
3.94	8.15	-9.46
6.85	4.94	-0.15
3.02	2.08	2.64
2.07	0.39	0.76
10.03	-1.43	-2.34
1.47	4.75	-0.04
-5.93	3.89	3.27
6.63	-2.72	-0.51
13.97	-1.58	3.09
2.03	-1.86	0.13
2.13	-2.85	-1
1.63	-1.45	2.18
12.39	2.61	-0.09
5.17	-4.89	-0.51
-1.64	3.98	1.41
-2.36	-1.01	0.24
-7.61	-2.73	3.23
-0.67	2.63	-0.93
5.62	-3.45	0.54
2.99	-0.1	2.27
-12.05	1.52	-2.28
5.83	-1.21	-3.96
-5.1	0.15	-0.52
1.73	0.73	3.27
14.68	-1.51	-9.57
11.24	2.55	-1.14
-24.76	-3.6	-7.63
4.64	-1	-7.35
-4.25	2.4	-0.84
5	0.38	-2.66
-1.22	2.65	6.59
-10.86	-0.12	0.28
7.24	-3.46	-1.51
6.69	0.6	2.44
5.51	-3.77	-2.42
6.05	8.27	-2.26
0.93	1.86	6.25
-2.73	1.39	-4.35
2.26	-4.29	0.34
-4.39	-4.7	2.34
-8.08	1.48	-2.44
-3.73	-4.41	1.91
3.46	1.36	-3.8
-2.24	-1.17	1.31
2.38	3.24	-0.58
0.03	-2.89	-0.18
-8.71	-0.33	-0.05
-6.6	-2.51	-0.81
1.37	0.15	-2.25
-0.41	-1.88	-0.09
1.07	0.63	0.21
0.38	-9.25	-4.71
-4.97	5.65	-0.63
15.12	-2.35	1.34
9.29	0.96	2.23
-3.94	-2.01	-2.43
-5.67	-5.24	3.15
-10.12	1.19	1.29
-4.94	-1.71	-1.27
-3.5	-2.64	3.3
-1.34	0.14	0.55
-3.48	-0.02	-0.45
3.67	-1.05	2.91
-24.12	-2.23	-3.1
-12.96	3.33	2.75
-5.06	-3.32	3.66
0.59	-1.35	-3.12
0.24	0.29	0.82
-5.34	-1.32	-4.16
-10.47	0.45	-0.45
3.84	-13.58	-4.69
3.37	2.05	-2.14
-3.34	3.37	2.03
5.01	-1.06	-0.82
0.05	-1.24	-0.52
0.88	3.15	-6.51
1.39	-1.16	0.96
2.09	-3.27	-1.88
6.49	-1.37	7.8
6.45	-4.97	2.99
6.01	2.33	-0.64
-2.39	-2.54	-2.04
-1.87	-0.2	-0.89
-0.61	-0.43	-0.86
-0.68	2.31	2.07
5.43	-2.04	-2.72
-9.47	1.79	5.47
5.13	-1.64	-2.29
2.68	2.32	1.21
9.59	1.35	0.97
5.27	-1.47	0.52
-0.54	-0.95	0.48
-6.37	0.92	0.33
-0.44	-0.34	-0.99
-2.19	1.22	0.04
0.71	0.03	-0.04
2.84	-1.13	0.25
1.79	-0.5	0.17
-2.35	-0.46	-0.04
-2.04	-0.69	-0.79
-3.01	0.34	-0.6
-0.68	-1.28	-1.02
-1.59	0.09	-0.62
1.49	-0.51	0.17
3.32	-0.66	0.49
2.82	-0.09	0.57
3.4	-0.66	0.7
5.2	0.08	1.22
-2.67	-1.34	-0.39
-12.9	3.83	3.31
5.52	-3.1	4.07
-7.9	-0.16	-0.26
-8.93	1.07	1.01
0.52	1.62	0.15
0.55	-0.02	-0.1
-0.77	2.17	0.52
20.46	-0.07	1.37
-2.67	0.42	4.44
5.83	2.01	0.9
10.29	-0.09	0.75
8.24	0.34	-0.34
-10.58	-0.55	0.58
-7.32	0.47	-2.02
4.14	1.58	1.98
-7.34	2.59	3.69
-1.73	-0.4	0.27
-3.49	-0.58	-1.06
5.56	-5.36	-2.83
5.64	6.78	-2.57
31.34	2.74	7.65
4.66	-4.38	-5.4
12.65	-0.63	-0.44
0.43	-1.08	-1.3
-4.62	1.52	-2.42
-2.11	2.21	1.52
8.63	2.36	2.93
-7.68	-1.43	0.98
15.25	-1.5	-0.11
-5.25	2.44	0.75
-1.58	-0.79	0.9
4.76	-0.02	-1.23
-0.16	0.01	-0.06
1.22	-0.03	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
