Linear Accel. [X]	Linear Accel. [Y]	Linear Accel. [Z]
-0.1	-0.44	-0.14
-0.1	0.05	0.39
-0.06	0.39	-0.02
-0.21	-1.22	0.29
-0.11	0.11	0.19
-0.07	-0.64	-0.25
-0.02	0.63	0.09
-0.07	-0.52	0
-0.03	0.56	0.04
-0.11	-0.4	0.01
-0.05	0.11	0.12
-0.06	0.1	-0.29
-0.06	-0.24	0.26
-0.07	0.26	-0.34
-0.04	-0.14	0.26
-0.01	0.1	-0.25
-0.05	0.1	0.32
-0.07	-0.11	-0.11
-0.05	0.23	0.17
-0.06	-0.07	-0.05
-0.04	0.09	0.19
-0.04	-0.04	-0.03
-0.03	0.1	0.22
-0.09	0	-0.07
-0.01	-0.13	0.21
-0.04	-0.11	-0.04
-0.04	-0.05	0.15
-0.01	0.01	0.05
-0.03	0.13	-0.06
-0.01	0.01	0
-0.02	-0.1	-0.14
-0.06	0.09	0.36
-0.04	-0.11	0.07
-0.01	0.17	0.16
-0.1	-0.1	-0.02
-0.03	-0.03	0.05
-0.07	-0.06	0.13
-0.07	0.16	-0.06
-0.05	-0.09	0.24
-0.04	-0.05	0.01
-0.06	0.12	0.16
-0.05	-0.13	-0.02
-0.05	0.02	0.28
-0.07	0.08	-0.04
-0.06	0	0.19
-0.1	-0.09	0.11
-0.01	0.14	0.05
-0.07	-0.1	-0.12
-0.08	0.14	0.21
-0.02	0.01	-0.09
-0.1	-0.02	0.29
-0.04	0.1	-0.25
-0.05	-0.02	0.27
-0.09	0.07	-0.13
-0.09	-0.17	0.25
0	0	-0.35
-0.06	-0.24	-0.02
-0.01	0.15	-0.06
-0.05	-0.29	0.1
-0.03	0.22	-0.12
-0.08	-0.15	0.35
-0.04	0.2	-0.28
-0.08	-0.07	0.28
-0.01	-0.14	-0.3
-0.06	0.02	0.09
-0.05	-0.3	0.16
-0.05	0.11	-0.07
-0.02	-0.15	0
-0.12	-0.06	0.35
-0.09	-0.14	0.29
-0.01	0.28	-0.28
-0.1	-0.29	0.37
-0.05	-0.14	-0.49
0	-0.22	-0.02
0	0.12	-0.04
-0.02	0.03	-0.02
-0.09	-0.16	-0.01
-0.09	-0.11	0.02
-0.02	-0.05	-0.32
-0.08	-0.21	0.68
-0.07	0.2	-0.21
-0.07	-0.07	0.15
-0.09	-0.14	-0.15
0.07	0.15	-0.3
0	0.23	-0.43
-0.14	0.4	-0.02
0.02	-0.24	-0.04
-0.12	0.02	0.31
0.35	-0.6	0.12
0.04	0.12	0.32
0.11	-0.14	-0.11
0	0.68	0.71
0.13	0.28	0.02
-0.14	-0.33	-0.27
0.18	-1.33	1.16
-0.33	0.13	-1.12
-0.06	-0.3	1.46
0.02	-0.31	-0.08
0.01	0.25	0.27
-0.09	-0.08	-0.35
-0.05	0.13	0.7
-0.12	-0.18	-0.24
-0.07	0.05	0.3
-0.07	-0.04	-0.35
-0.04	-0.05	0.39
-0.05	0	-0.31
-0.08	0.08	0.21
-0.03	-0.15	-0.39
-0.04	0.25	0.3
-0.08	-0.31	-0.29
-0.04	0.32	0.08
-0.05	-0.27	-0.29
-0.05	0.12	-0.02
-0.12	0.07	0
-0.07	0.01	-0.04
0.02	0.02	0
-0.05	0.08	0.01
0.01	0.15	-0.32
-0.05	-0.16	0.34
-0.02	0.22	-0.17
-0.09	0.04	0.24
0.01	-0.02	0.35
-0.03	0.02	-0.26
-0.01	0.11	0.31
-0.06	-0.15	-0.24
0	0.01	0.02
-0.01	-0.03	-0.05
-0.01	-0.17	0.34
0	0.13	-0.16
-0.02	0	0.09
-0.04	-0.1	0.01
-0.02	0.15	0.27
0	-0.79	-0.28
-0.05	0.17	0.3
-0.04	-0.17	-0.46
-0.06	0.12	0.43
-0.03	-0.04	-0.38
-0.08	0.06	0.48
0	0.03	-0.2
-0.07	0.01	0.09
-0.03	-0.24	-0.17
-0.04	0.09	0.12
-0.04	-0.17	0.03
-0.05	0.35	0.12
-0.06	0.04	0.2
-0.07	-0.12	0.15
-0.03	0.25	0.04
-0.09	-0.22	-0.03
-0.05	0.26	0.43
-0.02	-0.01	-0.34
-0.05	-0.18	0.26
-0.03	0.16	-0.18
-0.03	-0.16	0.08
-0.02	-0.05	-0.07
0.01	0.11	-0.08
-0.02	-0.17	-0.04
-0.07	0.1	0.1
-0.03	0.18	-0.23
0	0.03	0.25
-0.01	-0.21	-0.05
-0.02	0.12	0.14
-0.05	-0.33	0
-0.03	0.13	-0.02
-0.08	-0.03	0.02
-0.01	0.1	0.03
-0.1	0.13	0.18
-0.04	-0.18	-0.11
-0.04	0.26	0.08
-0.04	-0.42	-0.04
-0.04	0.24	0.22
-0.03	-0.1	-0.04
-0.03	0.04	0.34
-0.04	-0.03	0.22
-0.02	-0.09	-0.07
-0.06	0.09	0.34
-0.04	-0.06	-0.04
-0.01	0.02	0.34
-0.01	0.08	-0.25
-0.03	0.11	0.28
-0.06	-0.2	-0.14
-0.04	0.26	0.06
-0.03	-0.09	-0.06
-0.03	0.14	-0.05
-0.03	-0.21	0.35
-0.02	0	-0.18
-0.04	-0.37	0.04
-0.02	0.31	-0.03
-0.06	-0.3	-0.07
-0.09	-0.03	0.25
-0.03	0.16	-0.15
-0.06	-0.03	0.29
-0.08	0.14	0.02
-0.03	0.18	0
-0.06	-0.13	-0.14
-0.02	0.09	0.14
-0.07	-0.06	0.23
-0.03	0.35	0.23
-0.02	0.12	-0.16
-0.03	0.33	0.17
-0.07	-0.24	-0.16
-0.01	0.3	0.12
-0.09	0.01	-0.17
-0.02	-0.33	0.24
-0.02	0.25	-0.29
0.02	-0.07	0.23
-0.05	-0.09	-0.29
-0.07	-0.33	0.28
-0.11	-0.21	0.14
-0.06	0.32	-0.27
-0.09	-0.38	0.26
-0.04	-0.29	-0.26
0.01	0.22	0
-0.09	-0.32	0.07
-0.02	0.33	-0.09
-0.04	-0.02	-0.19
-0.09	0.01	0.44
-0.05	0.58	-0.62
0.03	-0.6	-0.53
-0.06	0.64	0.01
-0.04	0.07	0.25
-0.11	-0.1	0.08
-0.05	0.02	0.3
-0.05	-0.11	-0.21
-0.03	0.55	0.24
-0.04	-0.19	-0.12
-0.02	0.31	-0.18
-0.08	-0.28	-0.16
-0.06	0.17	0.51
-0.05	-0.12	-0.38
-0.07	0.51	0.88
-0.01	-0.32	0
-0.04	0.02	-0.1
-0.16	-0.04	0.25
-0.02	-0.01	0.15
-0.07	0	0.16
-0.01	0.07	-0.22
-0.1	0.04	-0.27
-0.03	-0.11	0.33
-0.02	0	-0.55
-0.08	-0.44	-0.16
-0.27	0.34	0.27
-0.01	-0.05	-0.31
-0.16	-0.15	0.18
-0.04	0.3	0.16
-0.1	-0.23	-0.15
-0.01	0.12	0.26
-0.09	-0.13	-0.12
-0.02	0.09	0.14
-0.05	-0.03	-0.03
-0.07	-0.07	0.21
-0.05	0.14	-0.07
-0.1	-0.05	0.23
-0.06	0.06	-0.06
-0.02	-0.01	0.08
-0.04	0	-0.03
-0.12	-0.21	-0.07
-0.06	-0.36	0.06
-0.06	0.05	-0.42
-0.06	-0.06	0.13
-0.07	-0.15	-0.18
-0.02	0.05	0.12
-0.06	-0.12	0.19
-0.02	0.18	-0.1
-0.02	0.17	0.21
-0.07	-0.05	0.26
-0.03	0.11	-0.16
-0.05	0.08	0.2
-0.04	-0.1	0.07
-0.04	-0.03	-0.04
-0.03	0.16	0.1
-0.02	0.01	-0.11
-0.03	-0.17	0.25
-0.05	0.15	-0.19
-0.09	-0.09	0.36
-0.04	0.04	-0.31
-0.11	0	0.25
-0.06	0.04	-0.02
-0.08	0	0.03
-0.02	0.05	-0.07
-0.05	0.23	0.21
0	0.22	-0.07
-0.05	-0.01	0.36
-0.04	-0.04	-0.18
-0.05	0.16	0.24
-0.07	-0.1	0.06
-0.07	0.17	0.06
-0.06	-0.14	-0.01
-0.05	0.17	0.15
-0.02	0.08	-0.12
-0.05	-0.15	-0.01
-0.05	0.03	-0.11
-0.06	-0.06	0.1
-0.05	-0.03	0.14
-0.06	0.1	0.18
-0.08	-0.08	-0.03
-0.09	0.02	0.23
-0.06	0	-0.07
-0.08	0.03	0.24
-0.05	0	-0.16
-0.04	0.18	0.33
-0.08	0.1	-0.06
-0.07	0.06	0.2
-0.04	0.24	0.02
-0.06	-0.02	0.29
-0.04	0.1	0
-0.08	-0.15	0.27
-0.07	0.08	-0.19
-0.08	-0.11	0.23
-0.04	-0.17	-0.03
-0.05	0.24	0
-0.07	-0.19	0.16
-0.05	0.11	0.06
-0.05	0	0.15
-0.07	-0.13	0.02
-0.04	0.15	0.15
-0.09	-0.21	0.01
-0.08	0.03	0.23
-0.07	0.11	-0.15
-0.08	-0.17	0.14
-0.08	0.01	0.02
-0.09	-0.1	-0.06
-0.04	0.19	-0.11
-0.07	-0.03	-0.05
-0.03	0.07	0.23
-0.07	-0.09	0.18
-0.06	-0.21	-0.13
-0.03	0.11	0.22
-0.07	-0.06	-0.16
-0.08	-0.03	0.36
-0.01	0.07	-0.26
-0.03	0.08	0.07
-0.07	-0.15	0.02
-0.07	0.39	0.16
-0.05	-0.24	0
0	0.14	0.03
-0.04	-0.1	0.08
-0.07	0.14	0.15
-0.04	0.03	0.03
-0.1	-0.19	0.18
-0.05	0.27	-0.07
-0.09	-0.24	0.09
-0.05	0.19	0.05
-0.05	-0.03	0.06
-0.07	-0.11	0.26
-0.09	0	-0.07
-0.05	0.06	0.18
-0.04	-0.05	0.02
-0.03	0.14	0.2
-0.05	-0.12	-0.1
-0.07	0.04	0.22
-0.07	0.04	-0.04
-0.08	0.05	0.14
-0.05	-0.08	-0.06
-0.04	0.03	0.26
-0.06	-0.12	-0.02
-0.07	0.09	0.04
-0.08	0.12	-0.05
-0.08	-0.11	0.26
-0.03	0.28	-0.1
-0.03	-0.22	0.12
-0.03	0	-0.02
-0.06	-0.03	0.06
-0.05	0.1	0.12
-0.09	-0.2	0.1
-0.06	0.04	0.12
-0.03	-0.14	-0.01
-0.04	-0.21	0.11
-0.01	0.17	-0.03
-0.07	-0.33	0.3
-0.08	0.41	-0.33
-0.08	-0.16	0.27
-0.03	0.06	0.02
-0.04	0.03	0.11
-0.05	0	-0.13
-0.03	0	0.14
-0.08	-0.15	-0.05
-0.06	0.22	0.09
-0.07	-0.11	-0.14
-0.06	0.12	0.12
-0.08	-0.09	0.21
-0.03	0.08	-0.18
-0.09	0.02	0.23
-0.08	0	-0.03
-0.08	0.09	0.12
-0.05	-0.19	0.12
-0.01	0.2	0.06
-0.06	0.13	0.23
-0.07	-0.17	0.02
-0.07	0.17	-0.06
-0.06	0	0.12
-0.05	-0.21	0.06
-0.08	0.11	0.1
-0.07	-0.18	-0.04
-0.07	0.12	0.22
-0.02	-0.12	-0.07
-0.03	-0.1	0.18
-0.02	-0.01	0.08
-0.08	0.09	0.01
-0.1	-0.37	0
-0.07	0.19	0.25
-0.06	-0.2	-0.24
-0.06	0.04	0.26
-0.06	0.13	-0.11
-0.04	0.01	0.15
-0.05	-0.23	-0.09
0	0.15	0.27
-0.03	-0.24	-0.36
-0.03	0.05	0.58
-0.06	-0.14	-0.52
-0.04	0.12	0.5
-0.08	-0.24	-0.28
-0.01	0.45	0.28
-0.1	-0.35	-0.32
-0.03	0.27	0.45
-0.08	-0.16	-0.42
-0.05	0.27	0.45
-0.03	-0.25	-0.43
-0.04	0.33	0.63
-0.04	-0.21	-0.43
-0.07	0.08	0.54
0	0.29	-0.43
-0.1	-0.27	0.43
-0.05	0.25	-0.32
-0.06	-0.15	0.18
-0.07	0.25	-0.09
-0.06	-0.23	0.12
-0.05	0.24	0.08
-0.08	-0.23	0.1
-0.04	0.13	0.11
-0.04	0.07	-0.04
-0.06	-0.17	0.35
-0.03	0.42	-0.14
-0.1	-0.19	0
-0.03	0	0.06
-0.09	0.1	-0.13
-0.05	-0.12	0.35
-0.03	0.14	-0.03
-0.05	-0.06	0.2
-0.03	0.14	0.05
-0.08	-0.11	0.09
0.02	0.03	0.15
-0.06	0	0.14
-0.07	0.03	-0.01
-0.08	-0.07	0
-0.02	-0.05	0.15
-0.06	0	0
-0.06	0.11	-0.07
-0.1	-0.15	0.23
-0.04	0	-0.15
-0.06	-0.08	0.06
-0.04	-0.09	0.04
-0.08	0	0.06
-0.08	-0.04	0.21
-0.07	0.05	-0.07
-0.08	0	0.18
-0.04	-0.06	0.05
-0.07	0.05	0.21
-0.03	0.04	-0.06
-0.06	-0.04	0.29
-0.04	0.01	-0.02
-0.06	-0.04	0.18
-0.08	-0.04	0.1
-0.05	-0.02	0.03
-0.09	-0.04	0.11
-0.03	0	0.09
-0.05	0.09	0.17
-0.05	0.12	0.15
-0.07	0.03	-0.03
-0.05	0.12	0.31
-0.08	-0.06	-0.02
-0.02	-0.05	-0.03
-0.08	-0.08	0.07
-0.05	0	0.15
-0.07	-0.05	-0.29
-0.03	-0.03	0.36
-0.05	0.1	-0.11
-0.05	-0.05	0.24
-0.05	-0.09	-0.07
-0.07	0.12	0.1
-0.02	-0.24	0
-0.03	0.03	0.08
-0.04	-0.01	0.08
-0.05	-0.27	0.21
-0.05	0.24	-0.08
-0.08	-0.35	0.1
-0.05	0.25	-0.09
-0.08	0.1	0.14
-0.07	-0.09	0.03
-0.05	0.21	-0.19
-0.09	-0.25	0.32
-0.04	-0.09	-0.16
-0.06	0.1	0.05
-0.05	0.04	0.18
-0.02	-0.06	-0.14
-0.1	0.09	0.18
-0.06	-0.33	-0.08
-0.04	0.01	0.2
-0.04	0.14	0.03
-0.03	0	0.11
-0.08	-0.08	0.09
-0.04	0.13	-0.05
-0.08	-0.13	0.29
-0.06	-0.03	-0.14
-0.06	0.05	0.29
-0.07	-0.11	-0.15
-0.06	0.15	0.2
-0.05	-0.22	-0.15
-0.06	0.02	0.22
-0.1	-0.17	-0.07
-0.04	0.11	0.27
-0.05	-0.08	0.01
-0.07	-0.09	0.22
-0.05	0.01	-0.02
-0.06	-0.03	0.06
-0.08	-0.04	0.15
-0.08	0	0.07
-0.06	-0.1	0
-0.05	0.05	0.24
-0.07	-0.16	-0.05
-0.08	-0.08	0.17
-0.03	0.01	0.04
-0.07	-0.02	0.16
-0.09	0.02	0.14
-0.09	0.07	0.03
-0.06	-0.1	0.15
-0.07	0.02	-0.01
-0.07	0.05	0.26
-0.1	0.02	-0.15
-0.06	-0.01	0.19
-0.08	-0.1	0.04
-0.06	0.06	0.14
-0.07	-0.02	0.1
-0.07	-0.08	0.09
-0.07	0.08	0.06
-0.06	-0.04	0.16
-0.07	-0.06	0.13
-0.09	0.13	0.19
-0.09	0	0.05
-0.06	0.11	0.15
-0.07	0	-0.04
-0.08	0.01	0.12
-0.05	-0.02	-0.03
-0.08	0	0.04
-0.07	-0.04	-0.02
-0.07	-0.07	0.08
-0.05	-0.11	0.06
-0.06	-0.02	-0.04
-0.05	-0.2	0.06
-0.08	-0.03	-0.14
-0.07	-0.12	0.06
-0.01	-0.06	-0.23
-0.03	-0.07	0.1
-0.03	-0.06	-0.32
-0.04	0.02	0.19
-0.05	-0.26	-0.27
-0.06	0.19	0.26
-0.08	-0.25	-0.22
-0.06	-0.03	0.15
-0.05	0.13	-0.23
-0.05	-0.39	0.24
-0.02	0.1	-0.17
-0.05	-0.14	0.05
-0.02	-0.08	0.01
-0.09	0	-0.1
-0.06	-0.2	0.05
-0.04	0.13	0.03
-0.06	-0.28	0.04
-0.02	0	0.07
-0.03	0.02	-0.17
-0.09	-0.03	0.21
0	0	-0.12
-0.05	-0.04	0.1
-0.03	-0.1	0.02
-0.04	-0.1	0.03
-0.06	-0.07	-0.04
-0.06	-0.05	-0.08
-0.07	-0.03	0.07
-0.03	0.01	-0.16
-0.06	-0.04	0.02
-0.02	-0.1	-0.03
-0.05	-0.02	0.01
-0.05	-0.21	-0.03
-0.01	-0.07	0
-0.03	-0.16	0.06
-0.06	0	0.04
-0.05	-0.1	-0.08
-0.04	-0.02	0.09
-0.05	0	-0.12
-0.06	-0.15	-0.12
-0.03	0.06	-0.01
-0.08	-0.17	-0.04
-0.05	0	-0.01
-0.06	-0.16	-0.04
-0.04	-0.18	-0.04
-0.04	-0.06	0.07
-0.04	-0.03	0.03
-0.06	-0.07	0
-0.05	-0.05	0.05
-0.07	-0.08	-0.06
-0.06	0.01	-0.02
-0.05	-0.12	0.17
-0.05	-0.04	-0.15
-0.07	0	0.07
-0.06	-0.06	-0.13
-0.04	-0.05	0.03
-0.04	-0.08	-0.17
-0.05	-0.09	0.06
-0.05	-0.03	-0.02
-0.04	-0.07	0
-0.07	-0.08	-0.02
-0.08	0.01	0.08
-0.06	0.01	-0.05
-0.04	-0.12	0.04
-0.03	0.01	0.01
-0.07	0.15	-0.2
-0.07	-0.11	0.23
-0.05	0.04	-0.04
-0.06	0.04	0.12
-0.04	-0.09	0.02
-0.1	0.25	0.08
-0.07	-0.06	-0.04
-0.08	0.14	0.1
-0.06	0.11	-0.08
-0.06	-0.08	0.2
-0.08	-0.08	-0.09
-0.06	0.09	-0.05
-0.08	-0.2	0.04
-0.05	0.04	0
-0.05	-0.03	0.07
-0.06	0	-0.03
-0.07	0.13	0.12
-0.04	0	-0.22
-0.08	0.14	0.21
-0.05	-0.2	-0.3
-0.08	0.07	0.32
-0.05	0.19	-0.21
-0.06	-0.05	0.26
-0.05	-0.17	0.05
-0.03	0.06	-0.32
-0.05	0.02	0.25
-0.05	0.07	-0.01
-0.04	0.15	-0.15
-0.07	-0.29	0.19
-0.05	0.05	-0.2
-0.09	0	0.1
-0.05	-0.03	-0.13
-0.08	0.15	0.11
-0.04	-0.14	-0.13
-0.06	0.12	-0.23
0.02	0.18	-0.16
-0.1	-0.55	0.09
0.01	0.65	-0.02
-0.14	-0.9	0.14
0	0.47	-0.33
-0.06	-0.48	0.24
-0.02	-0.22	-0.09
-0.03	0.17	-0.07
-0.01	-0.27	0.01
-0.06	0.21	0.12
0.01	-0.09	0.02
-0.02	0.15	0.24
-0.05	-0.07	-0.26
-0.03	0.09	0.43
-0.07	-0.12	-0.26
-0.06	0.09	0.36
-0.04	0.03	-0.39
-0.1	0.1	0.19
-0.09	0.08	-0.12
0	-0.01	0.13
-0.03	-0.08	-0.09
-0.03	0.04	0.17
-0.02	0.21	-0.12
-0.08	-0.03	0.14
-0.04	0.06	-0.01
-0.03	0.02	0.05
-0.06	-0.01	-0.03
-0.06	0.22	0.08
0	0.18	-0.14
-0.03	-0.01	0.03
-0.01	-0.01	0.08
-0.06	0.01	-0.04
-0.09	0.02	0.03
-0.05	0.2	-0.12
-0.07	-0.04	0.14
-0.04	0.04	0.11
-0.07	0.13	-0.02
-0.09	0.15	0.23
-0.03	0.03	-0.29
-0.06	0.05	0.3
-0.02	0.24	-0.02
-0.1	-0.06	0
-0.08	0.09	-0.07
-0.01	0.1	0.15
0.01	-0.05	0.04
0.01	0.1	0.05
0.01	-0.01	-0.24
-0.05	-0.05	0
-0.04	-0.02	0.16
-0.04	0.36	0.1
-0.04	0.03	-0.36
-0.04	-0.2	0.18
-0.05	0.4	-0.04
-0.03	-0.11	0.01
-0.04	0.29	-0.14
-0.1	-0.33	0.39
0	0.41	-0.64
-0.06	-0.01	-0.05
0	-0.11	0.16
0	0.07	0.23
-0.07	-0.04	-0.11
-0.03	0.18	0.08
-0.01	-0.2	-0.22
-0.03	0.25	0.34
26.23	-1.06	-1.97
30.01	3.02	-3.75
30.37	6.15	-0.09
30.4	0.88	-3.58
30.47	3.82	0.28
30.5	2.99	-1.34
-12.56	-5.57	-5.54
-22.85	-4.21	-12.51
-21.58	2.45	-9.22
-20.91	3.66	-3.58
-19.41	3.65	-2.62
-17.97	3.82	-2.75
-16.6	4.74	-5.25
-15.1	2.49	-9.07
-14.07	-4.5	-5.44
-13.67	-1.37	2.61
-12.81	6.44	-3.29
-11.6	-4.07	-6.55
-11.47	2.38	4.26
-10.29	1.08	-8.39
-10.12	-0.2	5.16
-8.96	1.35	-8.63
-8.87	1.88	6.07
-7.69	-2.66	-7.94
-7.53	8.01	2.95
-6.6	-7.13	0.79
-5.69	5.46	-8.33
-5.44	4.85	7.23
-4.18	-8.1	-1.43
-3.3	5.51	-9.03
-2.84	7.44	6.53
-1.66	-7.78	3.25
-0.46	-0.48	-10.18
0.07	10.72	0.59
0.79	-2.34	8.3
-3.1	-7.38	-9.8
9.2	-3.46	-30.72
-27.42	-13.47	-3.36
8.8	-12.65	2.46
12.76	11.3	4.89
-7.99	0.38	4.9
-3.62	7.38	-1.01
5.39	2.38	-3.35
0.33	5.93	-3
0.75	-0.79	-4.4
-2.08	-1.7	0.94
3.13	3.73	-1.2
-3.59	2.19	2.7
-2.09	3.53	-0.23
2.91	3.11	-11.03
10.46	-5.15	-4.18
-4.23	3.31	-2.86
6.17	1.94	-1.15
8.57	0.64	-0.39
1.09	-2.06	-9.27
-6.22	-1.73	0.95
5.03	3.37	-4.45
-13.73	4.28	5.44
-4.1	-5.52	3.29
-0.16	-5.85	-4.64
6.12	3.97	-2.88
-1.69	1.14	5.94
2.32	1.39	0.75
2.35	-2.51	-0.67
6.84	-20.51	8.72
2.33	-13.15	-0.91
4.75	2.22	-4.06
6.27	-4.02	-2.59
5.42	5.18	-13.87
5.79	0.87	-4.8
3.41	-5.23	1.12
2.59	7.56	4.17
-5.52	5.46	2.26
-0.52	3.76	-3.37
1.88	1.51	-6.21
-4.02	3.16	0.63
-3.87	1.88	-4.1
3.25	3	-7.52
-0.09	0.09	0.13
1.15	-7.67	-10.08
7.94	3.99	-4
0.6	0.76	0.43
-2.61	6.61	-2.21
4.26	-4.95	2.95
-0.41	-6.73	-7.48
0.62	-4.65	-1.83
1.96	-1.21	-4.12
8.55	2.21	-3.07
0	1.68	-0.73
8.52	0.28	-0.66
11.56	10.46	-0.05
3.01	0.36	-1.28
4.91	1.62	0.5
-1.88	1.3	3.8
4.68	-4.38	-0.8
-5.29	-9.19	5.72
-2.61	0.58	3.9
0.44	-4.54	-6.39
-1.38	3.16	0.8
4.19	-9.23	-1.89
3.35	-3.82	-1.79
6.61	-8.39	-0.31
0.88	3.09	-1.94
-3.77	-7.94	2.1
-6.68	-1.25	-12.61
-1.45	-1.3	1.93
-4.77	1.99	0.38
2.79	1.4	0.86
1.56	0.33	1.76
-3.91	1.8	-9.75
-4.3	-9.91	-4.64
5.91	-0.13	-3.78
